,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
0,2010,7,23,17,114.0,22,34.0,1007.0,SE,24.59,0,0
1,2014,12,3,19,14.0,-22,-1.0,1027.0,NW,100.58,0,0
2,2010,7,17,4,53.0,22,24.0,1006.0,NW,3.58,0,0
3,2014,2,6,8,155.0,-12,-7.0,1031.0,NE,0.89,0,0
4,2013,7,24,21,29.0,19,28.0,999.0,cv,0.89,0,0
5,2012,3,20,11,158.0,-4,8.0,1026.0,NW,19.22,0,0
6,2013,11,23,13,122.0,-11,16.0,1018.0,NW,3.13,0,0
7,2014,6,12,16,14.0,11,35.0,1003.0,cv,4.92,0,0
8,2013,12,22,11,80.0,-15,-2.0,1034.0,cv,1.78,0,0
9,2011,4,7,1,,4,10.0,1015.0,SE,63.04,0,0
10,2011,10,29,4,218.0,4,4.0,1022.0,NW,4.46,0,0
11,2014,12,3,8,13.0,-23,-4.0,1028.0,NW,25.92,0,0
12,2014,12,22,13,51.0,-14,8.0,1023.0,cv,3.57,0,0
13,2012,11,16,0,129.0,0,0.0,1025.0,SE,1.78,2,0
14,2014,1,4,13,178.0,-7,1.0,1021.0,cv,0.89,0,0
15,2014,11,30,0,242.0,2,4.0,1020.0,cv,0.89,0,0
16,2011,3,22,0,17.0,-24,3.0,1031.0,NW,159.58,0,0
17,2010,8,13,6,87.0,24,26.0,1001.0,SE,16.1,0,0
18,2014,1,30,3,128.0,-10,-2.0,1015.0,cv,0.89,0,0
19,2012,2,21,7,99.0,-11,-3.0,1021.0,NW,1.79,0,0
20,2011,2,13,7,69.0,-8,-7.0,1030.0,NE,4.47,10,0
21,2014,9,15,19,18.0,4,24.0,1016.0,SE,12.96,0,0
22,2011,2,11,16,12.0,-16,-1.0,1030.0,NW,91.65,0,0
23,2014,11,21,18,19.0,-14,12.0,1021.0,NW,20.57,0,0
24,2010,6,30,2,158.0,20,25.0,1004.0,SE,10.73,0,0
25,2013,10,25,11,31.0,-5,16.0,1028.0,NW,121.6,0,0
26,2012,8,10,14,55.0,20,32.0,1006.0,SE,4.92,0,0
27,2013,5,7,12,194.0,15,27.0,1016.0,SE,4.92,0,0
28,2012,12,25,16,,-25,-6.0,1038.0,NE,1.79,0,0
29,2011,7,20,0,51.0,21,23.0,1002.0,cv,2.67,0,0
30,2010,9,24,0,,10,13.0,1018.0,NE,0.89,0,0
31,2013,9,18,4,126.0,18,20.0,1019.0,cv,0.89,0,0
32,2013,8,21,20,73.0,17,25.0,1007.0,SE,28.17,0,0
33,2013,10,14,22,28.0,-5,6.0,1033.0,NW,1.79,0,0
34,2013,3,29,14,121.0,-8,9.0,1020.0,SE,16.98,0,0
35,2012,3,6,9,20.0,-15,4.0,1017.0,NW,94.78,0,0
36,2013,12,26,8,18.0,-23,-5.0,1036.0,NW,212.79,0,0
37,2014,1,19,18,202.0,-9,1.0,1022.0,cv,0.89,0,0
38,2013,12,19,4,8.0,-20,-10.0,1030.0,NW,1.79,0,0
39,2011,8,3,10,,22,26.0,1006.0,NW,4.92,0,0
40,2011,7,3,11,47.0,16,31.0,1002.0,NE,4.02,0,0
41,2010,10,8,15,310.0,12,24.0,1013.0,SE,7.16,0,0
42,2014,3,2,17,144.0,-12,10.0,1020.0,SE,14.3,0,0
43,2010,11,20,23,438.0,0,3.0,1009.0,cv,3.58,0,0
44,2014,9,30,10,17.0,1,12.0,1029.0,cv,2.67,0,0
45,2013,7,18,14,163.0,22,27.0,1004.0,SE,27.26,0,0
46,2013,2,23,8,54.0,-12,-2.0,1029.0,NW,9.84,0,0
47,2013,7,18,4,149.0,23,24.0,1005.0,SE,53.19,0,0
48,2013,11,10,20,72.0,-19,8.0,1026.0,NW,4.92,0,0
49,2013,9,12,10,163.0,16,24.0,1014.0,cv,1.79,0,0
50,2011,11,3,1,24.0,7,11.0,1028.0,cv,0.89,0,0
51,2010,10,1,21,243.0,16,21.0,1015.0,SE,3.58,0,0
52,2010,2,17,14,11.0,-25,1.0,1027.0,NW,107.73,0,0
