,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
11513,2010,1,1,0,,-21,-11,1021,NW,1.79,0,0
39570,2010,1,1,1,,-21,-12,1020,NW,4.92,0,0
27336,2010,1,1,2,,-21,-11,1019,NW,6.71,0,0
27888,2010,1,1,3,,-21,-14,1019,NW,9.84,0,0
5040,2010,1,1,4,,-20,-12,1018,NW,12.97,0,0
25716,2010,1,1,5,,-19,-10,1017,NW,16.1,0,0
19725,2010,1,1,6,,-19,-9,1017,NW,19.23,0,0
23399,2010,1,1,7,,-19,-9,1017,NW,21.02,0,0
1881,2010,1,1,8,,-19,-9,1017,NW,24.15,0,0
5306,2010,1,1,9,,-20,-8,1017,NW,27.28,0,0
29682,2010,1,1,10,,-19,-7,1017,NW,31.3,0,0
13799,2010,1,1,11,,-18,-5,1017,NW,34.43,0,0
21060,2010,1,1,12,,-19,-5,1015,NW,37.56,0,0
10873,2010,1,1,13,,-18,-3,1015,NW,40.69,0,0
22175,2010,1,1,14,,-18,-2,1014,NW,43.82,0,0
36180,2010,1,1,15,,-18,-1,1014,cv,0.89,0,0
40673,2010,1,1,16,,-19,-2,1015,NW,1.79,0,0
19842,2010,1,1,17,,-18,-3,1015,NW,2.68,0,0
37019,2010,1,1,18,,-18,-5,1016,NE,1.79,0,0
18820,2010,1,1,19,,-17,-4,1017,NW,1.79,0,0
28525,2010,1,1,20,,-17,-5,1017,cv,0.89,0,0
8737,2010,1,1,21,,-17,-5,1018,NW,1.79,0,0
4847,2010,1,1,22,,-17,-5,1018,NW,2.68,0,0
29040,2010,1,1,23,,-17,-5,1020,cv,0.89,0,0
40665,2010,1,2,0,129,-16,-4,1020,SE,1.79,0,0
25891,2010,1,2,1,148,-15,-4,1020,SE,2.68,0,0
29430,2010,1,2,2,159,-11,-5,1021,SE,3.57,0,0
2148,2010,1,2,3,181,-7,-5,1022,SE,5.36,1,0
40427,2010,1,2,4,138,-7,-5,1022,SE,6.25,2,0
12306,2010,1,2,5,109,-7,-6,1022,SE,7.14,3,0
26114,2010,1,2,6,105,-7,-6,1023,SE,8.93,4,0
33103,2010,1,2,7,124,-7,-5,1024,SE,10.72,0,0
32102,2010,1,2,8,120,-8,-6,1024,SE,12.51,0,0
41185,2010,1,2,9,132,-7,-5,1025,SE,14.3,0,0
30894,2010,1,2,10,140,-7,-5,1026,SE,17.43,1,0
41394,2010,1,2,11,152,-8,-5,1026,SE,20.56,0,0
2758,2010,1,2,12,148,-8,-5,1026,SE,23.69,0,0
39134,2010,1,2,13,164,-8,-5,1025,SE,27.71,0,0
35599,2010,1,2,14,158,-9,-5,1025,SE,31.73,0,0
36032,2010,1,2,15,154,-9,-5,1025,SE,35.75,0,0
21501,2010,1,2,16,159,-9,-5,1026,SE,37.54,0,0
11562,2010,1,2,17,164,-8,-5,1027,SE,39.33,0,0
37790,2010,1,2,18,170,-8,-5,1027,SE,42.46,0,0
9437,2010,1,2,19,149,-8,-5,1028,SE,44.25,0,0
4998,2010,1,2,20,154,-7,-5,1028,SE,46.04,0,0
5577,2010,1,2,21,164,-7,-5,1027,SE,49.17,1,0
37067,2010,1,2,22,156,-8,-6,1028,SE,52.3,2,0
35505,2010,1,2,23,126,-8,-6,1027,SE,55.43,3,0
16619,2010,1,3,0,90,-7,-6,1027,SE,58.56,4,0
4111,2010,1,3,1,63,-8,-6,1026,SE,61.69,5,0
40457,2010,1,3,2,65,-8,-7,1026,SE,65.71,6,0
30609,2010,1,3,3,55,-8,-7,1025,SE,68.84,7,0
32386,2010,1,3,4,65,-8,-7,1024,SE,72.86,8,0
41975,2010,1,3,5,83,-9,-8,1024,SE,76.88,9,0
7526,2010,1,3,6,91,-10,-8,1024,SE,80.9,10,0
5555,2010,1,3,7,86,-10,-9,1024,SE,84.92,11,0
23249,2010,1,3,8,82,-10,-9,1024,SE,89.84,12,0
27240,2010,1,3,9,86,-11,-9,1023,SE,93.86,13,0
28520,2010,1,3,10,78,-11,-9,1023,SE,97.88,15,0
24563,2010,1,3,11,98,-11,-9,1022,SE,102.8,16,0
37071,2010,1,3,12,107,-11,-9,1021,SE,105.93,17,0
6781,2010,1,3,13,90,-11,-9,1020,SE,111.74,19,0
13301,2010,1,3,14,96,-11,-9,1020,SE,116.66,20,0
41630,2010,1,3,15,95,-11,-9,1020,SE,121.58,21,0
5052,2010,1,3,16,86,-11,-9,1020,SE,124.71,22,0
7634,2010,1,3,17,70,-11,-9,1020,SE,127.84,23,0
11705,2010,1,3,18,61,-11,-9,1021,cv,0.89,24,0
36262,2010,1,3,19,53,-11,-9,1022,cv,1.78,25,0
35891,2010,1,3,20,71,-10,-9,1022,NW,4.02,26,0
21381,2010,1,3,21,72,-11,-10,1023,NW,7.15,27,0
24402,2010,1,3,22,76,-11,-9,1023,NW,11.17,0,0
1281,2010,1,3,23,73,-12,-11,1023,NW,14.3,0,0
11286,2010,1,4,0,79,-14,-12,1023,NW,16.09,0,0
36968,2010,1,4,1,58,-16,-9,1023,NW,21.9,0,0
